comu;descriz;superf;altcentr
1;Ala                                     ;119,872;180
2;Albiano                                 ;9,964;644
3;Aldeno                                  ;8,971;209
5;Andalo                                  ;11,378;1042
6;Arco                                    ;63,218;91
7;Avio                                    ;68,896;131
9;Baselga di Pinè                         ;41,072;964
11;Bedollo                                 ;27,46;1059
13;Besenello                               ;25,937;218
15;Bieno                                   ;11,711;815
17;Bleggio Superiore                       ;32,675;628
18;Bocenago                                ;8,453;750
21;Bondone                                 ;19,193;720
22;Borgo Valsugana                         ;52,37;380
25;Brentonico                              ;57,141;692
26;Bresimo                                 ;41,015;1036
27;Brez                                    ;19,167;792
29;Caderzone Terme                         ;18,607;723
30;Cagnò                                   ;3,408;663
32;Calceranica al Lago                     ;3,395;465
33;Caldes                                  ;20,809;697
34;Caldonazzo                              ;21,414;480
35;Calliano                                ;10,199;187
36;Campitello di Fassa-Ciampedel           ;25,024;1448
37;Campodenno                              ;25,023;534
38;Canal San Bovo                          ;125,685;757
39;Canazei-Cianacëi                        ;67,022;1465
40;Capriana                                ;12,819;1007
41;Carano                                  ;13,57;1086
42;Carisolo                                ;25,123;808
43;Carzano                                 ;1,82;433
45;Castel Condino                          ;11,101;811
46;Castelfondo                             ;25,872;948
47;Castello-Molina di Fiemme               ;54,56;953
48;Castello Tesino                         ;112,841;871
49;Castelnuovo                             ;13,145;348
50;Cavalese                                ;45,376;1000
51;Cavareno                                ;9,484;973
52;Cavedago                                ;10,028;864
53;Cavedine                                ;38,227;504
54;Cavizzana                               ;3,377;710
58;Cimone                                  ;9,807;530
59;Cinte Tesino                            ;30,3;851
60;Cis                                     ;5,498;732
61;Civezzano                               ;15,667;469
62;Cles                                    ;39,166;658
63;Cloz                                    ;8,211;791
64;Commezzadura                            ;22,025;850
68;Croviana                                ;4,989;721
70;Daiano                                  ;9,511;1160
71;Dambel                                  ;5,145;751
74;Denno                                   ;10,644;429
78;Drena                                   ;8,337;398
79;Dro                                     ;27,954;123
80;Faedo                                   ;10,681;591
81;Fai della Paganella                     ;12,13;957
83;Fiavè                                   ;24,283;669
85;Fierozzo-Vlarötz                        ;17,943;1127
87;Folgaria                                ;71,632;1166
88;Fondo                                   ;30,629;987
89;Fornace                                 ;7,224;740
90;Frassilongo-Garait                      ;16,681;852
91;Garniga Terme                           ;13,125;810
92;Giovo                                   ;20,813;496
93;Giustino                                ;39,387;770
95;Grigno                                  ;46,385;263
